t,Fthrust,Fdrag,m,v,Mach,a,altitude,twr,maxV,maxMach,maxAcc,minAcc,maxG,minG
1.55,500.0,8.45427,15.65655,33.62774,0.09898,21.58922,139.06904,3.25507,33.62774,0.09898,21.74063,0,2.21693,0
1.56,500.0,8.56287,15.65494,33.84359,0.09961,21.58554,139.40639,3.2554,33.84359,0.09961,21.74063,0,2.21693,0
1.57,500.0,8.67215,15.65334,34.05941,0.10025,21.58181,139.74591,3.25574,34.05941,0.10025,21.74063,0,2.21693,0
1.58,500.0,8.78209,15.65174,34.27519,0.10088,21.57805,140.08758,3.25607,34.27519,0.10088,21.74063,0,2.21693,0
1.59,500.0,8.8927,15.65014,34.49093,0.10152,21.57424,140.43141,3.2564,34.49093,0.10152,21.74063,0,2.21693,0
1.6,500.0,9.00398,15.64853,34.70664,0.10215,21.57038,140.7774,3.25674,34.70664,0.10215,21.74063,0,2.21693,0
1.61,500.0,9.11592,15.64693,34.9223,0.10279,21.56649,141.12555,3.25707,34.9223,0.10279,21.74063,0,2.21693,0
1.62,500.0,9.22853,15.64533,35.13793,0.10342,21.56255,141.47585,3.25741,35.13793,0.10342,21.74063,0,2.21693,0
1.63,500.0,9.3418,15.64373,35.35351,0.10406,21.55856,141.8283,3.25774,35.35351,0.10406,21.74063,0,2.21693,0
1.64,500.0,9.45574,15.64212,35.56906,0.10469,21.55454,142.18292,3.25807,35.56906,0.10469,21.74063,0,2.21693,0
1.65,500.0,9.57034,15.64052,35.78456,0.10533,21.55047,142.53969,3.25841,35.78456,0.10533,21.74063,0,2.21693,0
1.66,500.0,9.6856,15.63892,36.00003,0.10596,21.54635,142.89861,3.25874,36.00003,0.10596,21.74063,0,2.21693,0
1.67,500.0,9.80152,15.63731,36.21545,0.1066,21.5422,143.25969,3.25907,36.21545,0.1066,21.74063,0,2.21693,0
1.68,500.0,9.9181,15.63571,36.43083,0.10723,21.538,143.62292,3.25941,36.43083,0.10723,21.74063,0,2.21693,0
1.69,500.0,10.03535,15.63411,36.64617,0.10787,21.53375,143.9883,3.25974,36.64617,0.10787,21.74063,0,2.21693,0
1.7,500.0,10.15325,15.63251,36.86146,0.1085,21.52947,144.35584,3.26008,36.86146,0.1085,21.74063,0,2.21693,0
1.71,500.0,10.27181,15.6309,37.07671,0.10913,21.52514,144.72553,3.26041,37.07671,0.10913,21.74063,0,2.21693,0
1.72,500.0,10.39103,15.6293,37.29192,0.10977,21.52077,145.09737,3.26075,37.29192,0.10977,21.74063,0,2.21693,0
1.73,500.0,10.5109,15.6277,37.50708,0.1104,21.51635,145.47137,3.26108,37.50708,0.1104,21.74063,0,2.21693,0
1.74,500.0,10.63143,15.62609,37.7222,0.11104,21.51189,145.84752,3.26141,37.7222,0.11104,21.74063,0,2.21693,0
1.75,500.0,10.75261,15.62449,37.93728,0.11167,21.50739,146.22581,3.26175,37.93728,0.11167,21.74063,0,2.21693,0
1.76,500.0,10.87445,15.62289,38.1523,0.1123,21.50285,146.60626,3.26208,38.1523,0.1123,21.74063,0,2.21693,0
1.77,500.0,10.99695,15.62129,38.36729,0.11294,21.49826,146.98886,3.26242,38.36729,0.11294,21.74063,0,2.21693,0
1.78,500.0,11.12009,15.61968,38.58222,0.11357,21.49364,147.37361,3.26275,38.58222,0.11357,21.74063,0,2.21693,0
1.79,500.0,11.24389,15.61808,38.79711,0.1142,21.48896,147.7605,3.26309,38.79711,0.1142,21.74063,0,2.21693,0
1.8,500.0,11.36833,15.61648,39.01196,0.11483,21.48425,148.14955,3.26342,39.01196,0.11483,21.74063,0,2.21693,0
1.81,500.0,11.49343,15.61488,39.22675,0.11547,21.47949,148.54074,3.26376,39.22675,0.11547,21.74063,0,2.21693,0
1.82,500.0,11.61918,15.61327,39.4415,0.1161,21.47469,148.93408,3.26409,39.4415,0.1161,21.74063,0,2.21693,0
1.83,500.0,11.74557,15.61167,39.6562,0.11673,21.46985,149.32957,3.26443,39.6562,0.11673,21.74063,0,2.21693,0
1.84,500.0,11.87261,15.61007,39.87085,0.11736,21.46497,149.72721,3.26476,39.87085,0.11736,21.74063,0,2.21693,0
1.85,500.0,12.0003,15.60846,40.08545,0.118,21.46004,150.12699,3.2651,40.08545,0.118,21.74063,0,2.21693,0
