	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 0.74      		Fthrust : 500.0     		Fdrag : 0.82977   		m : 15.78637  		v : 16.07709  		Mach : 0.04731   		a : 21.80853  		altitude : 118.94011 		twr : 3.2283    	
	t : 0.75      		Fthrust : 500.0     		Fdrag : 0.85242   		m : 15.78477  		v : 16.2952   		Mach : 0.04795   		a : 21.81032  		altitude : 119.10197 		twr : 3.22863   	
	t : 0.76      		Fthrust : 500.0     		Fdrag : 0.87538   		m : 15.78317  		v : 16.51332  		Mach : 0.04859   		a : 21.8121   		altitude : 119.26602 		twr : 3.22896   	
	t : 0.77      		Fthrust : 500.0     		Fdrag : 0.89865   		m : 15.78156  		v : 16.73145  		Mach : 0.04923   		a : 21.81386  		altitude : 119.43224 		twr : 3.22929   	
	t : 0.78      		Fthrust : 500.0     		Fdrag : 0.92222   		m : 15.77996  		v : 16.94961  		Mach : 0.04988   		a : 21.81559  		altitude : 119.60064 		twr : 3.22962   	
	t : 0.79      		Fthrust : 500.0     		Fdrag : 0.9461    		m : 15.77836  		v : 17.16778  		Mach : 0.05052   		a : 21.81731  		altitude : 119.77123 		twr : 3.22994   	
	t : 0.8       		Fthrust : 500.0     		Fdrag : 0.97028   		m : 15.77676  		v : 17.38597  		Mach : 0.05116   		a : 21.81901  		altitude : 119.944   		twr : 3.23027   	
	t : 0.81      		Fthrust : 500.0     		Fdrag : 0.99477   		m : 15.77515  		v : 17.60418  		Mach : 0.0518    		a : 21.82069  		altitude : 120.11895 		twr : 3.2306    	
	t : 0.82      		Fthrust : 500.0     		Fdrag : 1.01957   		m : 15.77355  		v : 17.8224   		Mach : 0.05245   		a : 21.82235  		altitude : 120.29608 		twr : 3.23093   	
	t : 0.83      		Fthrust : 500.0     		Fdrag : 1.04468   		m : 15.77195  		v : 18.04064  		Mach : 0.05309   		a : 21.824    		altitude : 120.4754  		twr : 3.23126   	
	t : 0.84      		Fthrust : 500.0     		Fdrag : 1.07009   		m : 15.77034  		v : 18.2589   		Mach : 0.05373   		a : 21.82562  		altitude : 120.6569  		twr : 3.23159   	
	t : 0.85      		Fthrust : 500.0     		Fdrag : 1.09581   		m : 15.76874  		v : 18.47717  		Mach : 0.05437   		a : 21.82722  		altitude : 120.84058 		twr : 3.23191   	
	t : 0.86      		Fthrust : 500.0     		Fdrag : 1.12183   		m : 15.76714  		v : 18.69546  		Mach : 0.05501   		a : 21.82881  		altitude : 121.02644 		twr : 3.23224   	
	t : 0.87      		Fthrust : 500.0     		Fdrag : 1.14816   		m : 15.76554  		v : 18.91376  		Mach : 0.05566   		a : 21.83037  		altitude : 121.21449 		twr : 3.23257   	
	t : 0.88      		Fthrust : 500.0     		Fdrag : 1.1748    		m : 15.76393  		v : 19.13208  		Mach : 0.0563    		a : 21.83192  		altitude : 121.40472 		twr : 3.2329    	
	t : 0.89      		Fthrust : 500.0     		Fdrag : 1.20174   		m : 15.76233  		v : 19.35042  		Mach : 0.05694   		a : 21.83345  		altitude : 121.59713 		twr : 3.23323   	
	t : 0.9       		Fthrust : 500.0     		Fdrag : 1.229     		m : 15.76073  		v : 19.56877  		Mach : 0.05759   		a : 21.83495  		altitude : 121.79172 		twr : 3.23356   	
	t : 0.91      		Fthrust : 500.0     		Fdrag : 1.25655   		m : 15.75913  		v : 19.78713  		Mach : 0.05823   		a : 21.83644  		altitude : 121.9885  		twr : 3.23389   	
	t : 0.92      		Fthrust : 500.0     		Fdrag : 1.28442   		m : 15.75752  		v : 20.00551  		Mach : 0.05887   		a : 21.83791  		altitude : 122.18747 		twr : 3.23421   	
	t : 0.93      		Fthrust : 500.0     		Fdrag : 1.31259   		m : 15.75592  		v : 20.22391  		Mach : 0.05951   		a : 21.83936  		altitude : 122.38861 		twr : 3.23454   	
	t : 0.94      		Fthrust : 500.0     		Fdrag : 1.34107   		m : 15.75432  		v : 20.44231  		Mach : 0.06016   		a : 21.8408   		altitude : 122.59195 		twr : 3.23487   	
	t : 0.95      		Fthrust : 500.0     		Fdrag : 1.36985   		m : 15.75271  		v : 20.66074  		Mach : 0.0608    		a : 21.84221  		altitude : 122.79746 		twr : 3.2352    	
	t : 0.96      		Fthrust : 500.0     		Fdrag : 1.39894   		m : 15.75111  		v : 20.87917  		Mach : 0.06144   		a : 21.8436   		altitude : 123.00516 		twr : 3.23553   	
	t : 0.97      		Fthrust : 500.0     		Fdrag : 1.42834   		m : 15.74951  		v : 21.09762  		Mach : 0.06209   		a : 21.84498  		altitude : 123.21504 		twr : 3.23586   	
	t : 0.98      		Fthrust : 500.0     		Fdrag : 1.45804   		m : 15.74791  		v : 21.31608  		Mach : 0.06273   		a : 21.84633  		altitude : 123.42711 		twr : 3.23619   	
	t : 0.99      		Fthrust : 500.0     		Fdrag : 1.48805   		m : 15.7463   		v : 21.53456  		Mach : 0.06337   		a : 21.84767  		altitude : 123.64137 		twr : 3.23652   	
	t : 1.0       		Fthrust : 500.0     		Fdrag : 1.51837   		m : 15.7447   		v : 21.75305  		Mach : 0.06401   		a : 21.84898  		altitude : 123.8578  		twr : 3.23685   	
	t : 1.01      		Fthrust : 500.0     		Fdrag : 1.54899   		m : 15.7431   		v : 21.97155  		Mach : 0.06466   		a : 21.85028  		altitude : 124.07643 		twr : 3.23718   	
	t : 1.02      		Fthrust : 500.0     		Fdrag : 1.57993   		m : 15.74149  		v : 22.19007  		Mach : 0.0653    		a : 21.85156  		altitude : 124.29723 		twr : 3.23751   	
	t : 1.03      		Fthrust : 500.0     		Fdrag : 1.61116   		m : 15.73989  		v : 22.4086   		Mach : 0.06594   		a : 21.85282  		altitude : 124.52023 		twr : 3.23784   	
