t,Fthrust,Fdrag,m,v,Mach,a,altitude,twr,maxV,maxMach,maxAcc,minAcc,maxG,minG
0.74,500.0,0.82977,15.78637,16.07709,0.04731,21.80853,118.94011,3.2283,16.07709,0.04731,21.80853,0,2.22385,0
0.75,500.0,0.85242,15.78477,16.2952,0.04795,21.81032,119.10197,3.22863,16.2952,0.04795,21.81032,0,2.22403,0
0.76,500.0,0.87538,15.78317,16.51332,0.04859,21.8121,119.26602,3.22896,16.51332,0.04859,21.8121,0,2.22422,0
0.77,500.0,0.89865,15.78156,16.73145,0.04923,21.81386,119.43224,3.22929,16.73145,0.04923,21.81386,0,2.22439,0
0.78,500.0,0.92222,15.77996,16.94961,0.04988,21.81559,119.60064,3.22962,16.94961,0.04988,21.81559,0,2.22457,0
0.79,500.0,0.9461,15.77836,17.16778,0.05052,21.81731,119.77123,3.22994,17.16778,0.05052,21.81731,0,2.22475,0
0.8,500.0,0.97028,15.77676,17.38597,0.05116,21.81901,119.944,3.23027,17.38597,0.05116,21.81901,0,2.22492,0
0.81,500.0,0.99477,15.77515,17.60418,0.0518,21.82069,120.11895,3.2306,17.60418,0.0518,21.82069,0,2.22509,0
0.82,500.0,1.01957,15.77355,17.8224,0.05245,21.82235,120.29608,3.23093,17.8224,0.05245,21.82235,0,2.22526,0
0.83,500.0,1.04468,15.77195,18.04064,0.05309,21.824,120.4754,3.23126,18.04064,0.05309,21.824,0,2.22543,0
0.84,500.0,1.07009,15.77034,18.2589,0.05373,21.82562,120.6569,3.23159,18.2589,0.05373,21.82562,0,2.22559,0
0.85,500.0,1.09581,15.76874,18.47717,0.05437,21.82722,120.84058,3.23191,18.47717,0.05437,21.82722,0,2.22576,0
0.86,500.0,1.12183,15.76714,18.69546,0.05501,21.82881,121.02644,3.23224,18.69546,0.05501,21.82881,0,2.22592,0
0.87,500.0,1.14816,15.76554,18.91376,0.05566,21.83037,121.21449,3.23257,18.91376,0.05566,21.83037,0,2.22608,0
0.88,500.0,1.1748,15.76393,19.13208,0.0563,21.83192,121.40472,3.2329,19.13208,0.0563,21.83192,0,2.22624,0
0.89,500.0,1.20174,15.76233,19.35042,0.05694,21.83345,121.59713,3.23323,19.35042,0.05694,21.83345,0,2.22639,0
0.9,500.0,1.229,15.76073,19.56877,0.05759,21.83495,121.79172,3.23356,19.56877,0.05759,21.83495,0,2.22655,0
0.91,500.0,1.25655,15.75913,19.78713,0.05823,21.83644,121.9885,3.23389,19.78713,0.05823,21.83644,0,2.2267,0
0.92,500.0,1.28442,15.75752,20.00551,0.05887,21.83791,122.18747,3.23421,20.00551,0.05887,21.83791,0,2.22685,0
0.93,500.0,1.31259,15.75592,20.22391,0.05951,21.83936,122.38861,3.23454,20.22391,0.05951,21.83936,0,2.227,0
0.94,500.0,1.34107,15.75432,20.44231,0.06016,21.8408,122.59195,3.23487,20.44231,0.06016,21.8408,0,2.22714,0
0.95,500.0,1.36985,15.75271,20.66074,0.0608,21.84221,122.79746,3.2352,20.66074,0.0608,21.84221,0,2.22729,0
0.96,500.0,1.39894,15.75111,20.87917,0.06144,21.8436,123.00516,3.23553,20.87917,0.06144,21.8436,0,2.22743,0
0.97,500.0,1.42834,15.74951,21.09762,0.06209,21.84498,123.21504,3.23586,21.09762,0.06209,21.84498,0,2.22757,0
0.98,500.0,1.45804,15.74791,21.31608,0.06273,21.84633,123.42711,3.23619,21.31608,0.06273,21.84633,0,2.22771,0
0.99,500.0,1.48805,15.7463,21.53456,0.06337,21.84767,123.64137,3.23652,21.53456,0.06337,21.84767,0,2.22784,0
1.0,500.0,1.51837,15.7447,21.75305,0.06401,21.84898,123.8578,3.23685,21.75305,0.06401,21.84898,0,2.22798,0
1.01,500.0,1.54899,15.7431,21.97155,0.06466,21.85028,124.07643,3.23718,21.97155,0.06466,21.85028,0,2.22811,0
1.02,500.0,1.57993,15.74149,22.19007,0.0653,21.85156,124.29723,3.23751,22.19007,0.0653,21.85156,0,2.22824,0
1.03,500.0,1.61116,15.73989,22.4086,0.06594,21.85282,124.52023,3.23784,22.4086,0.06594,21.85282,0,2.22837,0
